id,date,year,month,day
3638,2002-05-17,2002,5,17
3639,2002-05-29,2002,5,29
3640,2002-05-03,2002,5,3
3641,2002-07-04,2002,7,4
3642,2002-06-14,2002,6,14
3643,2002-07-05,2002,7,5
3644,2002-09-27,2002,9,27
3645,2002-11-22,2002,11,22
3646,2002-12-06,2002,12,6
3647,2002-11-29,2002,11,29
3648,2003-02-14,2003,2,14
3649,2003-04-04,2003,4,4
3650,2003-07-18,2003,7,18
3651,2003-09-12,2003,9,12
3652,2003-09-12,2003,9,12
3653,2003-09-12,2003,9,12
3654,2004-01-16,2004,1,16
3655,2004-01-23,2004,1,23
3656,2004-01-23,2004,1,23
3657,2004-02-13,2004,2,13
3658,1972-12-06,1972,12,6
3659,2004-03-12,2004,3,12
3660,2004-03-19,2004,3,19
3661,1980-03-10,1980,3,10
3662,2004-04-02,2004,4,2
3663,2004-05-07,2004,5,7
3664,2004-04-30,2004,4,30
3665,2004-08-27,2004,8,27
3666,2005-02-04,2005,2,4
3667,2005-07-08,2005,7,8
3668,2005-07-15,2005,7,15
3669,1990-08-02,1990,8,2
3670,2005-07-22,2005,7,22
3671,2005-09-02,2005,9,2
3672,2006-01-13,2006,1,13
3673,2006-03-17,2006,3,17
3674,2006-04-28,2006,4,28
3675,2006-07-19,2006,7,19
3676,2006-06-30,2006,6,30
3677,2006-07-20,2006,7,20
3678,2006-10-27,2006,10,27
3679,2002-03-13,2002,3,13
3680,2006-12-19,2006,12,19
3681,2006-12-01,2006,12,1
3682,2007-01-12,2007,1,12
3683,2007-01-19,2007,1,19
3684,2007-05-04,2007,5,4
3685,2007-01-26,2007,1,26
3686,2007-01-26,2007,1,26
3687,2007-06-15,2007,6,15
3688,2007-04-27,2007,4,27
3689,2007-07-13,2007,7,13
3690,2007-07-13,2007,7,13
3691,2007-07-19,2007,7,19
3692,2007-12-21,2007,12,21
3693,2008-01-18,2008,1,18
3694,2007-11-30,2007,11,30
3695,2008-07-18,2008,7,18
3696,2008-10-17,2008,10,17
3697,2008-11-21,2008,11,21
3698,2009-01-30,2009,1,30
3699,2009-06-05,2009,6,5
3700,2009-06-05,2009,6,5
3701,2009-06-05,2009,6,5
3702,2009-06-05,2009,6,5
3703,2009-06-05,2009,6,5
3704,2009-09-04,2009,9,4
3705,2009-09-11,2009,9,11
3706,2004-06-26,2004,6,26
3707,1995-05-02,1995,5,2
3708,2010-02-12,2010,2,12
3709,2010-06-25,2010,6,25
3710,2010-12-14,2010,12,14
3711,2011-07-15,2011,7,15
3712,2011-07-15,2011,7,15
3713,2011-07-08,2011,7,8
3714,2011-10-14,2011,10,14
3715,2011-12-23,2011,12,23
3716,2012-03-16,2012,3,16
3717,2012-03-16,2012,3,16
3718,2012-05-25,2012,5,25
3719,2012-07-20,2012,7,20
3720,2012-07-06,2012,7,6
3721,2012-10-19,2012,10,19
3722,2012-10-26,2012,10,26
3723,2012-12-21,2012,12,21
3724,2010-12-03,2010,12,3
3725,2011-10-21,2011,10,21
3726,2012-08-30,2012,8,30
3727,2013-03-22,2013,3,22
3728,2013-07-09,2013,7,9
3729,2013-09-06,2013,9,6
3730,2013-10-18,2013,10,18
3731,2014-03-28,2014,3,28
3732,2014-03-28,2014,3,28
3733,2015-01-30,2015,1,30
3734,2015-07-10,2015,7,10
3735,2016-02-19,2016,2,19
3736,2016-05-13,2016,5,13
3737,2016-06-10,2016,6,10
3738,2016-06-17,2016,6,17
3739,2016-06-24,2016,6,24
3740,2016-07-15,2016,7,15
3741,2017-02-24,2017,2,24
3742,2017-03-24,2017,3,24
3743,2017-07-14,2017,7,14
3744,2017-10-12,2017,10,12
3745,2017-12-22,2017,12,22
3746,2018-02-09,2018,2,9
3747,2018-07-20,2018,7,20
3748,2018-10-26,2018,10,26
3749,1991-07-31,1991,7,31
3750,1994-09-21,1994,9,21
3751,1993-04-07,1993,4,7
3752,1996-07-24,1996,7,24
3753,1999-03-02,1999,3,2
3754,1999-02-23,1999,2,23
3755,2001-12-14,2001,12,14
3756,1982-10-11,1982,10,11
3757,2002-12-13,2002,12,13
3758,2003-04-04,2003,4,4
3759,2003-12-12,2003,12,12
3760,2003-12-05,2003,12,5
3761,2004-05-07,2004,5,7
3762,2009-02-13,2009,2,13
3763,2009-07-03,2009,7,3
3764,2012-09-14,2012,9,14
3765,2012-09-14,2012,9,14
3766,2012-09-14,2012,9,14
3767,1991-07-31,1991,7,31
3768,1979-03-27,1979,3,27
3769,1994-09-21,1994,9,21
3770,1993-04-07,1993,4,7
3771,1991-12-11,1991,12,11
3772,1991-04-17,1991,4,17
3773,1991-04-17,1991,4,17
3774,1984-11-07,1984,11,7
3775,1996-07-24,1996,7,24
3776,1999-03-02,1999,3,2
3777,2001-12-14,2001,12,14
3778,2002-12-13,2002,12,13
3779,2003-12-12,2003,12,12
3780,2003-10-10,2003,10,10
3781,1991-07-31,1991,7,31
3782,1979-03-27,1979,3,27
3783,1994-09-21,1994,9,21
3784,1993-04-07,1993,4,7
3785,1991-12-11,1991,12,11
3786,1991-04-17,1991,4,17
3787,1991-04-17,1991,4,17
3788,1984-11-07,1984,11,7
3789,1996-07-24,1996,7,24
3790,1999-03-02,1999,3,2
3791,2001-12-14,2001,12,14
3792,2002-12-13,2002,12,13
3793,2003-12-12,2003,12,12
3794,2003-10-10,2003,10,10
3795,1991-07-31,1991,7,31
3796,1994-09-21,1994,9,21
3797,1991-07-31,1991,7,31
3798,1999-03-05,1999,3,5
3799,1999-03-02,1999,3,2
3800,2000-04-28,2000,4,28
3801,2006-02-24,2006,2,24
3802,1993-12-15,1993,12,15
3803,1993-12-15,1993,12,15
3804,1993-12-15,1993,12,15
3805,1993-12-15,1993,12,15
3806,1993-12-15,1993,12,15
3807,1999-10-22,1999,10,22
3808,1976-03-26,1976,3,26
3809,2021-07-16,2021,7,16
3810,1993-12-15,1993,12,15
3811,1993-12-15,1993,12,15
3812,1993-12-15,1993,12,15
3813,1994-05-25,1994,5,25
3814,1994-07-13,1994,7,13
3815,1994-01-19,1994,1,19
3816,1993-12-22,1993,12,22
3817,1992-05-20,1992,5,20
3818,1991-07-10,1991,7,10
3819,1991-06-26,1991,6,26
3820,1987-03-18,1987,3,18
3821,1990-07-31,1990,7,31
3822,1990-02-14,1990,2,14
3823,1995-12-22,1995,12,22
3824,1995-12-22,1995,12,22
3825,1987-09-02,1987,9,2
3826,1987-06-17,1987,6,17
3827,1987-01-28,1987,1,28
3828,1997-12-17,1997,12,17
3829,1998-07-07,1998,7,7
3830,1999-10-05,1999,10,5
3831,1999-09-14,1999,9,14
3832,1985-05-02,1985,5,2
3833,1985-05-02,1985,5,2
3834,2000-02-11,2000,2,11
3835,2000-07-07,2000,7,7
3836,2002-02-22,2002,2,22
3837,1977-04-18,1977,4,18
3838,1977-05-11,1977,5,11
3839,2005-10-28,2005,10,28
3840,2007-01-12,2007,1,12
3841,2009-09-25,2009,9,25
3842,2010-12-10,2010,12,10
3843,2014-01-06,2014,1,6
3844,2014-04-25,2014,4,25
3845,2018-11-23,2018,11,23
3846,2019-04-05,2019,4,5
3847,1994-05-25,1994,5,25
3848,1990-12-12,1990,12,12
3849,1992-10-14,1992,10,14
3850,1990-02-21,1990,2,21
3851,1996-03-05,1996,3,5
3852,1996-06-13,1996,6,13
3853,1987-11-18,1987,11,18
3854,1998-09-22,1998,9,22
3855,1999-06-22,1999,6,22
3856,1999-06-22,1999,6,22
3857,1999-10-05,1999,10,5
3858,2000-04-14,2000,4,14
3859,1982-07-16,1982,7,16
3860,1985-01-25,1985,1,25
3861,2001-11-09,2001,11,9
3862,1985-01-18,1985,1,18
3863,1984-08-13,1984,8,13
3864,2002-07-15,2002,7,15
3865,1978-10-11,1978,10,11
3866,1998-09-06,1998,9,6
3867,1999-04-20,1999,4,20
3868,1997-05-16,1997,5,16
3869,1998-10-28,1998,10,28
3870,1998-01-16,1998,1,16
3871,2004-05-14,2004,5,14
3872,2004-10-15,2004,10,15
3873,2005-05-20,2005,5,20
3874,2005-06-17,2005,6,17
3875,2006-01-13,2006,1,13
3876,1994-05-25,1994,5,25
3877,1990-12-12,1990,12,12
3878,1964-05-21,1964,5,21
3879,1992-10-14,1992,10,14
3880,1990-02-21,1990,2,21
3881,1996-03-05,1996,3,5
3882,1996-06-13,1996,6,13
3883,1987-11-18,1987,11,18
3884,1998-09-22,1998,9,22
3885,1999-06-22,1999,6,22
3886,1999-06-22,1999,6,22
